Fecha,Lugar,I. CRIMINALIDAD CONVENCIONAL,1. Homicidios dolosos y asesinatos consumados,2. Homicidios dolosos y asesinatos en grado tentativa,3. Delitos graves y menos graves de lesiones y riña tumultuaria,4. Secuestro,5. Delitos contra la libertad sexual,5.1.-Agresión sexual con penetración,5.2.-Resto de delitos contra la libertad sexual,6. Robos con violencia e intimidación,"7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",7.1.-Robos con fuerza en domicilios,8. Hurtos,9. Sustracciones de vehículos,10. Tráfico de drogas,11. Resto de criminalidad convencional,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),12.-Estafas informáticas,13.-Otros ciberdelitos,III. TOTAL INFRACCIONES PENALES
2022,16078 Cuenca,1982,1,3,31,0,22,10,12,33,170,67,489,9,4,1220,598,519,79,2580
2022,Provincia de GUADALAJARA,9929,3,4,126,1,83,12,71,161,688,446,1864,136,52,6811,1802,1551,251,11731
2022,19046 Azuqueca de Henares,1683,0,0,22,0,13,2,11,45,80,26,329,14,5,1175,215,172,43,1898
2022,19130 Guadalajara,2800,1,0,44,0,26,5,21,68,137,81,853,50,13,1608,624,562,62,3424
2022,Provincia de TOLEDO,25155,7,12,363,0,188,29,159,287,2086,1462,4833,245,271,16863,5717,4800,917,30872
2022,45081 Illescas,1499,0,0,20,0,8,1,7,31,108,78,372,19,12,929,237,206,31,1736
2022,45161 Seseña,1357,0,1,16,0,15,4,11,14,61,39,224,16,11,999,259,198,61,1616
2022,45165 Talavera de la Reina,2378,0,3,31,0,25,2,23,37,87,65,700,50,32,1413,245,204,41,2623
2022,45168 Toledo,2767,0,1,52,0,19,3,16,36,208,83,921,21,17,1492,648,600,48,3415
2022,CATALUÑA,411154,63,201,4015,9,3496,1184,2312,25049,27975,20019,162170,7411,3965,176800,63877,61607,2270,475031
2022,Provincia de BARCELONA,316672,36,137,2836,7,2511,846,1665,22457,19045,13395,133635,6171,2892,126945,46513,45021,1492,363185
2022,08015 Badalona,11727,1,9,120,0,100,39,61,1462,840,467,3825,251,51,5068,1978,1922,56,13705
2022,08252 Barberà del Vallès,1383,0,0,17,0,10,4,6,53,157,91,502,29,9,606,243,234,9,1626
2022,08019 Barcelona,151282,11,42,993,2,955,293,662,13234,6758,4861,79760,2871,1594,45062,16533,16113,420,167815
2022,08051 Castellar del Vallès,264,0,0,4,0,2,2,0,4,33,24,40,6,9,166,126,122,4,390
2022,08056 Castelldefels,2770,0,1,24,0,20,7,13,88,199,180,1073,48,16,1301,554,513,41,3324
2022,08266 Cerdanyola del Vallès,1607,0,1,18,0,23,6,17,85,148,111,455,38,6,833,401,381,20,2008
2022,08073 Cornellà de Llobregat,4329,0,8,68,0,50,19,31,358,210,124,1571,96,36,1932,794,771,23,5123
